(1, 'Дмитрий', 'Морозов', 'Николаевич', 'Челябинск', '1981-09-22', 26),
(2, 'Владимир', 'Козлов', 'Михайлович', 'Новосибирск', '1983-06-04', 38),
(3, 'Андрей', 'Смирнов', 'Александрович', 'Самара', '2001-01-15', 4),
(4, 'Владимир', 'Попов', 'Алексеевич', 'Нижний Новгород', '1989-02-13', 12),
(5, 'Юрий', 'Петров', 'Николаевич', 'Москва', '1995-02-04', 3),
(6, 'Александр', 'Смирнов', 'Николаевич', 'Екатеринбург', '2001-12-31', 38),
(7, 'Николай', 'Лебедев', 'Иванович', 'Санкт-Петербург', '1989-01-13', 33),
(8, 'Иван', 'Попов', 'Дмитриевич', 'Новосибирск', '1980-05-30', 49),
(9, 'Алексей', 'Козлов', 'Владимирович', 'Ростов-на-Дону', '1994-02-20', 1),
(10, 'Владимир', 'Лебедев', 'Андреевич', 'Омск', '1985-06-05', 29),
(11, 'Михаил', 'Новиков', 'Владимирович', 'Москва', '1991-06-18', 40),
(12, 'Сергей', 'Попов', 'Иванович', 'Омск', '1990-08-10', 8),
(13, 'Дмитрий', 'Иванов', 'Владимирович', 'Санкт-Петербург', '1983-08-09', 22),
(14, 'Дмитрий', 'Иванов', 'Владимирович', 'Новосибирск', '1991-05-06', 35),
(15, 'Александр', 'Кузнецов', 'Андреевич', 'Самара', '1990-01-24', 43),
(16, 'Николай', 'Иванов', 'Алексеевич', 'Новосибирск', '1980-04-06', 22),
(17, 'Юрий', 'Новиков', 'Николаевич', 'Нижний Новгород', '1999-01-17', 4),
(18, 'Иван', 'Лебедев', 'Сергеевич', 'Ростов-на-Дону', '1985-11-10', 4),
(19, 'Юрий', 'Морозов', 'Николаевич', 'Ростов-на-Дону', '1990-02-27', 38),
(20, 'Алексей', 'Морозов', 'Николаевич', 'Новосибирск', '1997-12-12', 20),
(21, 'Дмитрий', 'Морозов', 'Алексеевич', 'Омск', '2003-03-01', 22),
(22, 'Михаил', 'Попов', 'Алексеевич', 'Нижний Новгород', '1989-06-24', 3),
(23, 'Владимир', 'Кузнецов', 'Иванович', 'Казань', '2001-02-11', 20),
(24, 'Юрий', 'Новиков', 'Сергеевич', 'Москва', '1981-01-29', 9),
(25, 'Юрий', 'Петров', 'Сергеевич', 'Екатеринбург', '1993-01-28', 15),
(26, 'Дмитрий', 'Новиков', 'Александрович', 'Новосибирск', '2000-09-23', 35),
(27, 'Иван', 'Новиков', 'Дмитриевич', 'Казань', '1980-07-25', 42),
(28, 'Юрий', 'Морозов', 'Сергеевич', 'Челябинск', '2002-03-09', 32),
(29, 'Алексей', 'Попов', 'Дмитриевич', 'Казань', '2004-08-13', 3),
(30, 'Дмитрий', 'Кузнецов', 'Андреевич', 'Екатеринбург', '2001-10-17', 22),
(31, 'Михаил', 'Петров', 'Дмитриевич', 'Санкт-Петербург', '1987-05-30', 30),
(32, 'Александр', 'Лебедев', 'Николаевич', 'Екатеринбург', '1990-08-27', 30),
(33, 'Юрий', 'Попов', 'Иванович', 'Казань', '1999-07-25', 2),
(34, 'Юрий', 'Петров', 'Сергеевич', 'Санкт-Петербург', '1999-07-02', 39),
